time	PRO	BL	SEP	KNO
1	657.1354	729.2502	548.8211	557.0375
2	833.8139	836.7004	720.5886	711.2232
3	873.792	869.3771	780.7569	762.0293
4	867.2074	885.3144	805.0496	785.0235
5	863.3597	892.8783	831.9353	781.261
6	856.5664	886.6053	833.7875	770.3711
7	853.3038	886.1123	837.6483	780.5418
8	851.5437	882.7075	845.6016	772.6206
9	850.7136	878.2941	852.1646	761.3874
10	848.04	872.3565	857.8109	764.618
11	846.0257	868.5576	870.4287	767.9717
12	842.6815	865.4256	871.6439	760.2723
13	837.5837	860.0727	872.5125	759.8625
14	839.3611	858.857	877.5016	760.1512
15	838.8013	854.7528	882.5072	758.3706
16	825.9382	841.2007	873.4096	740.1257
17	812.2069	831.9738	869.8202	723.8499
18	800.2974	821.1318	865.2536	705.5797
19	782.2669	807.9091	859.3293	692.7089
20	774.7854	796.7603	851.9167	670.4887
21	758.2739	780.3815	849.3472	659.0459
22	745.4542	768.7521	840.6533	643.3018
23	731.1662	762.1718	839.0989	631.2967
24	717.2256	748.4268	834.0802	610.8474
25	698.5507	736.895	821.4816	594.2631
26	684.8319	723.1497	818.4748	580.3245
27	673.3954	714.2487	816.0639	566.1326
28	656.6861	697.5236	809.4898	553.7421
29	646.4861	691.9588	800.1664	542.1199
30	628.2095	680.9119	796.517	526.4627
31	620.3927	671.4682	785.0378	516.2506
32	602.3159	660.1623	776.4756	502.6975
33	593.6517	654.8465	764.7553	494.8825
34	583.0497	645.2324	760.1701	486.1802
35	570.2848	637.136	751.3084	471.6272
36	559.4428	632.4932	741.443	461.3449
37	548.894	626.2214	737.4107	455.5191
38	545.4524	622.3532	729.8716	448.0689
39	540.3846	625.9394	718.4594	442.8115
40	532.1405	626.8043	712.0039	435.8103
41	522.5042	622.5471	706.625	435.6913
42	519.1166	621.6118	699.8114	431.7116
43	511.5566	621.3111	694.2158	424.1744
44	505.3781	625.3143	688.4271	425.1143
45	502.9104	629.8232	683.8065	426.0972
46	498.62	628.1468	677.5426	424.3484
47	496.3531	631.1861	674.1265	419.2357
48	488.6549	632.8334	668.6539	419.5778
49	483.6536	633.7651	658.7123	416.5302
50	481.7293	637.7863	650.8517	413.6473
51	476.8726	641.2726	644.126	412.8787
52	479.437	643.3428	650.6183	408.6521
53	483.6441	643.8116	637.6347	409.6159
54	479.8703	646.1243	640.4752	411.7592
55	476.4591	649.1749	638.7115	407.1552
56	472.0911	652.2187	635.8185	402.3481
57	470.409	654.3509	621.7403	401.2806
58	466.1491	652.8721	616.2975	398.1133
59	464.8329	653.6417	618.5046	395.9698
60	470.4503	656.8586	619.7323	402.2749
61	463.4732	654.6142	613.1588	403.5481
62	461.6464	656.3399	614.0009	398.2551
63	462.1606	659.1799	605.2446	398.9724
64	457.1038	656.2474	602.9943	398.1014
65	450.9325	664.2867	600.0718	394.1507
66	450.9456	665.7409	587.7642	395.8269
67	450.8163	670.9773	594.7177	393.6953
68	448.2601	671.4307	590.8651	397.1636
69	445.0662	659.6184	588.1029	393.0096
70	434.5339	656.7604	586.8403	386.3207
71	438.2787	661.0285	589.2976	388.3913
72	437.4031	662.8875	586.2933	387.8056
73	435.3103	660.0782	575.1437	389.0998
74	428.063	654.0578	572.172	375.1429
75	422.373	650.296	573.3545	371.6737
76	420.6102	652.0679	571.6671	372.9666
77	421.5211	647.7021	576.737	370.8691
78	425.602	645.2935	571.3827	372.1631
79	421.9385	639.6748	568.3527	367.4892
80	422.7585	646.7435	572.4521	372.524
81	435.5908	647.1546	572.4481	397.8368
82	454.1267	651.663	582.5759	414.3665
83	454.6989	648.3982	591.0463	422.2874
84	467.8339	663.448	592.5767	437.1203
85	468.6417	668.5796	588.2623	430.1351
86	459.8425	667.8775	565.1633	432.0409
87	467.3	671.0569	567.4427	430.6663
88	515.24	674.5889	582.4585	468.2178
89	496.2335	633.441	552.265	462.5473
90	470.2405	631.2679	524.9379	461.282
91	481.4144	576.396	511.7973	457.8266
92	472.5922	509.4484	486.0216	463.7397
93	475.3544	471.6298	435.8602	479.3576
94	460.486	398.8929	348.5752	415.9943
95	370.3501	240.9764	275.9939	334.6702
96	203.947	130	41.51571	186.0009
97	25	17.5	7.5	27.5
98	2.5	5	5	5
99	0	2.5	2.5	2.5
100	0	0	2.5	0
