time	DPEMT	BEMT	FEMT	PMBEMT
1	21.4889	21.767	23.3601	97.8443
2	27.5815	30.3477	34.2312	89.712
3	31.4258	34.7028	41.0068	83.0929
4	35.3337	37.0692	45.0946	69.7685
5	37.877	40.1107	47.9115	62.1974
6	40.498	42.9489	51.6395	57.3254
7	44.1634	44.2008	52.3006	55.0216
8	70.7804	74.1051	73.4768	85.6527
9	58.2754	63.3631	62.5755	81.8018
10	49.9942	57.3355	57.695	78.6835
11	46.1765	52.2738	54.9997	76.4971
12	46.6518	51.0956	54.471	73.0032
13	45.7836	50.1607	54.4199	71.0713
14	47.0922	49.6663	53.8692	68.2581
15	70.007	76.9767	70.765	88.5
16	59.5617	67.2766	64.309	84.3177
17	52.0445	60.5866	61.194	82.0488
18	50.1159	55.2765	58.7752	78.7742
19	47.3725	52.3763	57.205	76.2654
20	46.0018	49.7193	57.6887	72.9617
21	46.611	51.4592	57.2203	71.6113
22	69.2218	75.7342	72.5531	87.3638
23	58.6141	66.1263	66.8607	83.2255
24	52.4404	61.941	63.5452	80.8863
25	48.6638	56.2517	61.5144	78.7215
26	47.0912	53.6292	59.9761	75.5471
27	47.4212	50.3957	58.046	72.2103
28	47.0085	50.5989	57.6979	69.927
29	69.0179	73.8572	73.5028	86.4999
30	58.577	65.596	68.6564	81.2087
31	54.2336	58.7803	64.4174	79.0349
32	49.9079	55.5954	62.1669	76.0268
33	47.3966	53.4555	63.3296	73.8288
34	45.7109	51.3101	62.5684	71.6751
35	48.9922	51.9459	62.0158	70.4455
36	67.7498	72.8918	76.5887	84.5126
37	58.5227	65.4478	72.6315	79.8794
38	51.1384	60.2179	69.0508	77.2915
39	47.7971	56.1334	65.7757	73.7972
40	46.0994	53.6932	62.7727	71.9852
41	45.3788	51.7717	61.4038	70.9627
42	47.9591	52.8811	62.6136	68.2882
43	67.1612	73.5944	77.3465	83.189
44	59.1033	65.6795	71.8045	78.8776
45	54.3427	61.2241	67.9387	77.5656
46	50.9574	57.6199	64.8212	74.6362
47	48.5897	55.1933	63.807	73.0842
48	47.5503	53.3345	62.1391	70.5654
49	49.9566	52.1119	60.5928	68.3712
50	69.0611	74.6314	75.9128	83.6204
51	60.6697	67.4828	71.7273	78.9308
52	53.6084	61.7122	68.3495	76.0009
53	49.1699	57.4537	65.8125	74.053
54	46.14	53.9324	63.4145	72.0546
55	45.1999	53.1486	60.7129	69.3172
56	47.6729	51.7862	59.9588	68.8361
57	67.919	73.6581	75.7949	82.9531
58	60.2495	67.2665	71.7716	78.8029
59	53.5729	62.1236	67.6211	76.4357
60	51.5433	56.4645	66.385	74.4068
61	49.298	55.2956	64.9547	72.0487
62	47.4215	52.6103	63.1794	70.1248
63	47.0385	50.3563	60.9574	68.4735
64	68.0078	73.8043	76.0879	82.7051
65	59.884	67.0814	73.0409	78.5281
66	55.5302	60.2351	70.0463	75.8593
67	50.3317	56.1983	66.4737	73.7967
68	47.5636	52.7802	66.2498	71.7936
69	46.3945	50.654	63.535	69.609
70	47.2472	50.948	62.8791	67.8032
71	67.8139	74.3705	76.1149	80.3931
72	59.8841	66.2739	74.1329	78.0463
73	53.5601	60.5362	70.9868	76.2411
74	49.589	57.5101	68.6168	73.1677
75	49.1754	55.2	66.6432	71.6345
76	47.5004	52.1485	63.9958	69.3252
77	48.5329	51.7525	64.1404	67.9251
78	68.8326	74.3716	78.0487	81.1194
79	60.4961	67.5455	74.3584	76.657
80	54.0259	61.3301	70.2731	75.1302
81	51.1885	58.2031	67.6111	73.4692
82	48.3767	54.9892	66.0892	72.1209
83	47.7651	54.6563	64.1173	70.0103
84	49.1786	53.8776	64.7224	67.9647
85	69.6237	73.8481	79.2883	81.7299
86	59.3212	65.4145	75.0446	76.976
87	53.2447	59.6048	70.2852	74.3781
88	50.5356	55.7496	67.8911	73.1446
89	49.5081	53.4801	65.9978	70.8149
90	48.5008	51.7305	65.8742	67.716
91	49.3426	53.4888	65.1283	65.7215
92	69.9492	73.3701	79.1109	80.6744
93	61.4396	67.3632	75.074	76.6637
94	54.2228	61.4737	72.8151	74.779
95	50.6295	58.2032	69.5216	72.5318
96	48.6248	55.2573	66.4755	69.1653
97	48.2197	53.021	65.6032	67.2816
98	49.4707	52.1105	65.7283	66.0366
99	69.8489	74.5782	79.7519	80.4243
100	75.6991	81.0668	86.8969	77.653
